act,scene,player,text
I,I,StageDirection,"Enter THESEUS, HIPPOLYTA, PHILOSTRATE, and Attendants."
I,I,THESEUS,"Now, fair Hippolyta, our nuptial hour"
I,I,THESEUS,Draws on apace; four happy days bring in
I,I,THESEUS,"Another moon: but, O, methinks, how slow"
I,I,THESEUS,"This old moon wanes\! she lingers my desires,"
I,I,HIPPOLYTA,Four days will quickly steep themselves in night;
I,I,HIPPOLYTA,Four nights will quickly dream away the time;
I,I,HIPPOLYTA,"And then the moon, like to a silver bow"
I,I,HIPPOLYTA,"New-bent in heaven, shall behold the night"
I,I,HIPPOLYTA,Of our solemnities.
I,I,THESEUS,"Go, Philostrate,"
I,I,THESEUS,Stir up the Athenian youth to merriments;
I,I,THESEUS,Awake the pert and nimble spirit of mirth.
I,I,StageDirection,Exit PHILOSTRATE
I,I,THESEUS,"Hippolyta, I woo'd thee with my sword,"
I,I,THESEUS,And won thy love doing thee injuries;
I,I,THESEUS,"But I will wed thee in another key,"
I,I,THESEUS,"With pomp, with triumph and with revelling."
I,I,StageDirection,"Enter EGEUS, HERMIA, LYSANDER, and DEMETRIUS"
I,I,EGEUS,"Happy be Theseus, our renowned duke\!"
I,I,THESEUS,"Thanks, good Egeus: what's the news with thee?"
I,I,EGEUS,"Full of vexation come I, with complaint"
I,I,EGEUS,"Against my child, my daughter Hermia."
I,I,EGEUS,"Stand forth, Demetrius. My noble lord,"
I,I,EGEUS,This man hath my consent to marry her.
I,I,EGEUS,"Stand forth, Lysander: and my gracious duke,"
I,I,EGEUS,This man hath bewitch'd the bosom of my child;
I,I,EGEUS,"Thou, thou, Lysander, thou hast given her rhymes,"
I,I,EGEUS,And interchanged love-tokens with my child:
I,I,EGEUS,"Thou hast by moonlight at her window sung,"
I,I,EGEUS,"With feigning voice verses of feigning love,"
I,I,EGEUS,And stolen the impression of her fantasy
I,I,EGEUS,"With bracelets of thy hair, rings, gawds, conceits,"
I,I,EGEUS,"Knacks, trifles, nosegays, sweetmeats, messengers"
I,I,EGEUS,Of strong prevailment in unharden'd youth:
I,I,EGEUS,"With cunning hast thou filch'd my daughter's heart,"
I,I,EGEUS,"Turn'd her obedience, which is due to me,"
I,I,EGEUS,"To stubborn harshness: and, my gracious duke,"
I,I,EGEUS,Be it so she will not here before your grace
I,I,EGEUS,"Consent to marry with Demetrius,"
I,I,EGEUS,"I beg the ancient privilege of Athens,"
I,I,EGEUS,"As she is mine, I may dispose of her:"
I,I,EGEUS,Which shall be either to this gentleman
I,I,EGEUS,"Or to her death, according to our law."
I,I,THESEUS,"What say you, Hermia? be advised fair maid:"
I,I,THESEUS,To you your father should be as a god;
I,I,THESEUS,"One that composed your beauties, yea, and one"
I,I,THESEUS,To whom you are but as a form in wax
I,I,THESEUS,By him imprinted and within his power
I,I,THESEUS,To leave the figure or disfigure it.
I,I,THESEUS,Demetrius is a worthy gentleman.
I,I,HERMIA,So is Lysander.
I,I,THESEUS,In himself he is;
I,I,THESEUS,"But in this kind, wanting your father's voice,"
I,I,THESEUS,The other must be held the worthier.
I,I,HERMIA,I would my father look'd but with my eyes.
I,I,THESEUS,Rather your eyes must with his judgment look.
I,I,HERMIA,I do entreat your grace to pardon me.
I,I,HERMIA,"I know not by what power I am made bold,"
I,I,HERMIA,But I beseech your grace that I may know
I,I,HERMIA,"The worst that may befall me in this case,"
I,I,HERMIA,If I refuse to wed Demetrius.
I,I,THESEUS,Either to die the death or to abjure
I,I,THESEUS,Forever the society of men.
I,I,THESEUS,"Therefore, fair Hermia, question your desires;"
I,I,THESEUS,"Know of your youth, examine well your blood,"
I,I,THESEUS,"Whether, if you yield not to your father's choice,"
I,I,THESEUS,"You can endure the livery of a nun,"
I,I,THESEUS,"To live a barren sister all your life,"
I,I,THESEUS,"Chanting faint hymns to the cold, fruitless moon."
I,I,THESEUS,"O, earthlier happy is the rose distill'd,"
I,I,THESEUS,"Than that which withering on the virgin thorn,"
I,I,THESEUS,"Grows, lives and dies in single blessedness."
I,I,HERMIA,"So will I grow, so live, so die, my lord,"
I,I,HERMIA,Ere I will my virgin patent up
I,I,HERMIA,"Unto his lordship, whose unwished yoke"
I,I,HERMIA,My soul consents not to give sovereignty.
I,I,THESEUS,"Take time to pause; and, by the next new moon--"
I,I,THESEUS,"The sealing-day betwixt my love and me,"
I,I,THESEUS,Upon that day either prepare to die
I,I,THESEUS,"For disobedience to your father's will,"
I,I,THESEUS,"Or else to wed Demetrius, as he would;"
I,I,THESEUS,Or on Diana's altar to protest
I,I,THESEUS,For aye austerity and single life.
I,I,DEMETRIUS,"Relent, sweet Hermia: and, Lysander, yield"
I,I,DEMETRIUS,Thy crazed title to my certain right.
I,I,LYSANDER,"You have her father's love, Demetrius;"
I,I,LYSANDER,Let me have Hermia's: do you marry him.
I,I,EGEUS,"Scornful Lysander\! true, he hath my love,"
I,I,EGEUS,And what is mine my love shall render him.
I,I,EGEUS,"And she is mine, and all my right of her"
I,I,EGEUS,I do estate unto Demetrius.
I,I,LYSANDER,"I am, my lord, as well derived as he,"
I,I,LYSANDER,As well possess'd; my love is more than his;
I,I,LYSANDER,"My fortunes every way as fairly rank'd,"
I,I,LYSANDER,"If not with vantage, as Demetrius's;"
I,I,LYSANDER,"And, which is more than all these boasts can be,"
I,I,LYSANDER,I am beloved of beauteous Hermia:
I,I,LYSANDER,Why should not I then prosecute my right?
I,I,LYSANDER,"Demetrius, I'll avouch it to his head,"
I,I,LYSANDER,"Made love to Nedar's daughter, Helena,"
I,I,LYSANDER,"And won her soul; and she, sweet lady, dotes,"
I,I,LYSANDER,"Devoutly dotes, dotes in idolatry,"
I,I,LYSANDER,Upon this spotted and inconstant man.
I,I,THESEUS,"I must confess that I have heard so much,"
I,I,THESEUS,And with Demetrius thought to have spoke thereof;
I,I,THESEUS,"But, being over-full of self-affairs,"
I,I,THESEUS,"My mind did lose it. But, Demetrius, come;"
I,I,THESEUS,"And come, Egeus; you shall go with me,"
I,I,THESEUS,I have some private schooling for you both.
I,I,THESEUS,"For you, fair Hermia, look you arm yourself"
I,I,THESEUS,To fit your fancies to your father's will;
I,I,THESEUS,Or else the law of Athens yields you up--
I,I,THESEUS,Which by no means we may extenuate--
I,I,THESEUS,"To death, or to a vow of single life."
I,I,THESEUS,"Come, my Hippolyta: what cheer, my love?"
I,I,THESEUS,"Demetrius and Egeus, go along."
I,I,EGEUS,With duty and desire we follow you.
I,I,StageDirection,Exeunt all but LYSANDER and HERMIA
I,I,LYSANDER,"How now, my love\! why is your cheek so pale?"
I,I,LYSANDER,How chance the roses there do fade so fast?
I,I,HERMIA,"Belike for want of rain, which I could well"
I,I,HERMIA,Beteem them from the tempest of my eyes.
I,I,LYSANDER,"Ay me\! for aught that I could ever read,"
I,I,LYSANDER,"Could ever hear by tale or history,"
I,I,LYSANDER,The course of true love never did run smooth;
I,I,LYSANDER,"But, either it was different in blood,--"
I,I,HERMIA,O cross\! too high to be enthrall'd to low.
I,I,LYSANDER,"Or else it stood upon the choice of friends,--"
I,I,HERMIA,O hell\! to choose love by another's eyes.
I,I,LYSANDER,"Or, if there were a sympathy in choice,"
I,I,LYSANDER,"War, death, or sickness did lay siege to it,"
I,I,LYSANDER,"Making it momentary as a sound,"
I,I,LYSANDER,"Swift as a shadow, short as any dream;"
I,I,LYSANDER,So quick bright things come to confusion.
I,I,HERMIA,"If then true lovers have been ever cross'd,"
I,I,HERMIA,"Then let us teach our trial patience,"
I,I,HERMIA,"Because it is a customary cross,"
I,I,HERMIA,"As due to love as thoughts and dreams and sighs,"
I,I,HERMIA,"Wishes and tears, poor fancy's followers."
I,I,LYSANDER,"A good persuasion: therefore, hear me, Hermia."
