play,author,act,scene,player,text,annotation,highlight,cutting,revision
Measure for Measure Reshaped,William Shakespeare,,,,,,,,
,,1,1,StageDirection,Scene One,,,,
,,1,1,StageDirection,"Enter Duke, Escalus, lords.",,,,
,,1,1,DUKE,Escalus.,,,,
,,1,1,ESCALUS,My lord.,,,,
,,1,1,DUKE,"Of government, the properties to unfold",,,,
,,1,1,,"Would seem in me t' affect speech & discourse,",,,,
,,1,1,,Since I am put to know that your own science,"Here, **science** means knowledge or conscience",science,,
,,1,1,,Exceeds in that the lists of all advice,,,,
,,1,1,,My strength can give you. Then no more remains,,,,
,,1,1,,"But that, to your sufficiency, as your worth is able,",,,,
,,1,1,,"And let them work. The nature of our people,",,,,
,,1,1,,"Our city's institutions, and the terms",,,,
,,1,1,,"For common justice, you're as pregnant in","Here, **pregnant** means well-versed",pregnant,,
,,1,1,,As art and practice hath enrichéd any,,,,
,,1,1,,"That we remember. There is our commission,",,,,
,,1,1,,"From which we would not have you warp. Call hither,","Here, **warp** means to stray",warp,,
,,1,1,,"I say, bid come before us Angelo:",,,,
,,1,1,,What figure of us think you he will bear?,How do you think he will represent us? Also introduced the idea of stamping or minting for the 1st time in the play,figure of us,,
,,1,1,,"For you must know, we have with special soul",,,,
,,1,1,,"Elected him our absence to supply,",,,,
,,1,1,,"Lent him our terror, dressed him with our love,","Here, **terror** is an attribute of power",terror,,
,,1,1,,And given his deputation all the organs,"Here, **deputation** means appointment to deputy",deputation,,
,,1,1,,Of our own power. What think you of it?,,,,
,,1,1,ESCALUS,If any in Ferrara be of worth,"In the Folio, the city is identified as Vienna, which scholars believe is a change that Thomas Middleton made when he revised the play in 1617-18, in order to make some jokes about topical events there. Notice, though, that all the names are Italian.",Ferrara,,
,,1,1,,"To undergo such ample grace and honor,",,,,
,,1,1,,It is Lord Angelo.,,,,
,,1,1,StageDirection,Enter Angelo.,,,,
,,1,1,DUKE,Look where he comes.,,,,
,,1,1,ANGELO,"Always obedient to your grace's will,",,,,
,,1,1,,I come to know your pleasure.,,,,
,,1,1,DUKE,Angelo:,,,,
,,1,1,,There is a kind of character in thy life,"Here, **character** refers to behavior",character,,
,,1,1,,That to th' observer doth thy history,"In this section, the Duke explains that Angelo has talents that he should share with the world.",,,
,,1,1,,Fully unfold. Thyself and thy belongings,"The Duke continues to explain that Heaven uses us as we use torches, to shed light onto the world around us. Also, reference to Matthew, 5.15-16",,,
,,1,1,,"Are not thine own so proper, as to waste",,,,
,,1,1,,"Thy self upon thy virtues, they on thee.",,,,
,,1,1,,"Heaven doth with us as we with torches do,",,,,
,,1,1,,Not light them for themselves; for if our virtues,,,,
,,1,1,,"Did not go forth of us, 'twere all alike",,,,
,,1,1,,"As if we had them not. Spirits are not finely touch'd,",,,,
,,1,1,,But to fine issues; nor nature never lends,,,,
,,1,1,,The smallest scruple of her excellence,**scruple** means the tiniest unit of weight,scruple,,
,,1,1,,"But, like a thrifty goddess, she determines","The Duke is saying if Mother Nature gives you a talent or wisdom, she expects you to use it.",,,
,,1,1,,"Herself the glory of a creditor,",,,,
,,1,1,,Both thanks and use. But I do bend my speech,,,,
,,1,1,,To one that can my part in him advértise;,,,,
,,1,1,,"Hold therefore, Angelo:","**hold** may mean, hold the course, Angelo, but also signify that Angelo shoould hold his tongue, not interrupt the Duke",hold,,
,,1,1,,In our remove be thou at full our self:,,,,
,,1,1,,Mortality and mercy in Ferrara,,,,
,,1,1,,"Live in thy tongue and heart. Old Escalus,",,,,
,,1,1,,"Though first in question, is thy secondary.",,,,
,,1,1,,Take thy commission.,Accept the responsibilities which I am placing in your care,commission,,
,,1,1,ANGELO,Now good my Lord,,,,
,,1,1,,Let there be some more test made of my mettle,"**mettle** means a person's character, temperament; Angelo is picking up the stamping imagery the Duke used earlier. Finally, a play on metal and royal stamp of approval. ",mettle,,
,,1,1,,Before so noble and so great a figure,,,,
,,1,1,,Be stamped upon it.,,,,
,,1,1,DUKE,No more evasïon.,,,,
,,1,1,,We have with a leavened and preparéd choice,,,,
,,1,1,,Proceeded to you; therefore take your honors:,,,,
,,1,1,,Our haste from hence is of so quick condition,,,,
,,1,1,,"That it prefers itself, and leaves unquestioned",,,,
,,1,1,,Matters of needful value. We shall write to you,,,,
,,1,1,,"As time and our concernings shall impòrtune,",**importune** means demand,importune,,
,,1,1,,How it goes with us -- and do look to know,,,,
,,1,1,,What doth befall you here. So fare you well.,,,,
,,1,1,,To th' hopeful execution do I leave you,,,,
,,1,1,,Of your commissions.,,,,
,,1,1,ANGELO,"Yet give leave, my lord,",,,,
,,1,1,,That we may bring you something on the way.,**bring** escort you part of the way,bring,,
,,1,1,DUKE,My haste may not admit it;,,,,
,,1,1,,"Nor need you, on mine honor, have to do",,,,
,,1,1,,"With any scruple. Your scope is as mine own,","Here, the Duke is saying “you have all my authority to change the laws as you see fit”",,,
,,1,1,,So to enforce or qualify the laws,,,,
,,1,1,,As to your soul seems good. Give me your hand.,,,,
,,1,1,,"I'll privily away. I love the people,","Here, **privily** means discreetly or secretly",privily,,
,,1,1,,But do not like to stage me to their eyes.,,,,
,,1,1,,"Though it do well, I do not relish well",,,,
,,1,1,,"Their loud applause, and aves vehement;","**aves** means shouts of welcome or acclaim; this may be a nod to King James, who also didn't care for the fawning crowd",aves,,
,,1,1,,Nor do I think the man of safe discretion,"""of safe discretion"" means wise",of safe discretion,,
,,1,1,,"That does affect it. Once more, fare you well.","**affect** loves it, or pretends to love it",affect,,
,,1,1,ANGELO,The Lord give safety to your purposes!,,,,
,,1,1,ESCALUS,Lead forth and bring you back in happiness!,,,,
,,1,1,DUKE,I thank you. Fare you well.,,,,
,,1,1,StageDirection,Exit.,,,,
,,1,1,ESCALUS,"I shall desire you, sir, to give me leave",,,,
,,1,1,,To have free speech with you; and it concerns me,,,,
,,1,1,,To look into the bottom of my place.,understand fully the nature of these changed responsibilities,,,
,,1,1,,"A power I have, but of what strength and nature",,,,
,,1,1,,I am not yet instructed.,,,,
,,1,1,ANGELO,"Tis so with me: Let us withdraw together,",**withdraw** means leave or exit,Withdraw,,
,,1,1,,And we may soon our satisfaction have,,,,
,,1,1,,Touching that point.,,,,
,,1,1,ESCALUS,I'll wait upon your honor.,**wait upon** means accompany here,Wait upon,,
,,1,1,StageDirection,Exeunt.,"Here, **Exeunt** means to exit (the stage)",Exeunt,,
,,1,2,StageDirection,Scene Two,,,,
,,1,2,StageDirection,"Enter Clown and Bawd, meeting.",**Bawd** refers to a brothel proprietor,Bawd,,
,,1,2,BAWD,"How now, what's the news with you?",,,,
,,1,2,CLOWN,Yonder man is carried to prison.,,,,
,,1,2,BAWD,Well! What has he done?,Pompey takes **done** to mean copulate,done,,
,,1,2,CLOWN,A woman.,,,,
,,1,2,BAWD,But what's his offence?,**offence** means crime,offence,,
,,1,2,CLOWN,"Groping for trouts, in a peculiar river.",bawdy euphemism for having sex outside the confines of marriage,"Groping for trouts, in a peculiar river.",,
,,1,2,BAWD,What? Is there a maid with child by him?,,,,
,,1,2,CLOWN,No: but there's a woman with maid by him.,"Play on words, to wit 'made with child by him,' also a fishing pun for anyone who can catch it ",woman with maid by him,,
,,1,2,,"You have not heard of the proclamation, have you?",,,,
,,1,2,BAWD,"What proclamation, man?",,,,
,,1,2,CLOWN,All houses in the suburbs of Ferrara must be pluck'd down.,**houses** means brothels in this context,houses,,
,,1,2,BAWD,And what shall become of those in the city?,,,,
,,1,2,CLOWN,"They shall stand for seed. They had gone down too,","The houses of prostitution in the city will continue to function, pun on 'seed' as in both semen and in the way that corn is left in the field, to propagate another time",seed,,
,,1,2,,but that a wise burgher put in for them.,,,,
,,1,2,BAWD,But shall all our houses of resort in the suburbs be,**Houses of resort** refers to brothels for prostitution,houses of resort,,
,,1,2,,pulled down?,,,,
,,1,2,CLOWN,"To the ground, mistress.",,,,
,,1,2,BAWD,Why here's a change indeed in the commonwealth.,**commonwealth** means city,commonwealth,,
,,1,2,,What shall become of me?,,,,
,,1,2,CLOWN,"Come, fear not you. Good counselors lack no clients.",**clients** is synonymous for customers,clients,,
,,1,2,,"Though you change your place, you need not change your",,,,
,,1,2,,"trade. I'll be your tapster still. Courage, there will be pity",**tapster** means host/bartender,tapster,,
,,1,2,,taken on you. You that have worn your eyes almost out in,reference to syphillis and other STDs contracted while doing sex work,worn your eyes out,,
,,1,2,,"the service, you will be considered.",**service** prostitution,service,,
,,1,2,BAWD,"What's to do here, Thomas Tapster? Let's withdraw.",**withdraw** means leave or exit,Withdraw,,
,,1,2,StageDirection,Exit Bawd and Clown.,,,,
,,1,3,StageDirection,Scene Three,,,,
,,1,3,StageDirection,"Enter Provost, Claudio.",,,,
,,1,3,CLAUDIO,"Fellow, why dost thou show me thus to th' world?",,,,
,,1,3,,"Bear me to prison, where I am committed.",,,,
,,1,3,PROVOST,"I do it not in evil disposition,",**Disposition** is a state of mind or temperament.,Disposition ,,
,,1,3,,But from Lord Angelo by special charge.,,,,
,,1,3,CLAUDIO,Thus can the demigod Authority,"a person raised to a near-divine status, like a King",,,
,,1,3,,"Make us pay down for our offense, by weight,","Pay the full penalty, measuring coins by weight in silver or gold, not just their face value",weight,,
,,1,3,,"The words of heaven. On whom it will, it will;",,,,
,,1,3,,"On whom it will not, so; yet still 'tis just.",,,,
,,1,3,StageDirection,Enter Lucio.,,,,
,,1,3,LUCIO,"Why, how now, Claudio? Whence comes this restraint?",,,,
,,1,3,CLAUDIO,"From too much liberty, my Lucio.",,,,
,,1,3,,"As surfeit is the father of much fast,",**Surfeit** means excess or overindulgence,surfeit,,
,,1,3,,"So every scope, by the immoderate use,",**Immoderate** means excessive or overindulgent as well,immoderate,,
,,1,3,,"Turns to restraint. Our natures do pursue,",the **restraint** is prison,restraint,,
,,1,3,,"Like rats that raven down their proper bane,",The word**bane** refers to poison.,bane,,
,,1,3,,"A thirsty evil; and when we drink, we die.",,,,
,,1,3,LUCIO,"If I could speak so wisely under an arrest,",,,,
,,1,3,,"I would send for certain of my creditors. And yet,",,,,
,,1,3,,"to say the truth, I had as lief have the foppery of","**Lief** means 'should like just as much' and **foppery** means foolishness, flippancy.","lief, foppery",,
,,1,3,,freedom as the mortality of imprisonment. What's,,,,
,,1,3,,"thy offense, Claudio?",,,,
,,1,3,CLAUDIO,What but to speak of would offend again.,,,,
,,1,3,LUCIO,"What, is't murder?",,,,
,,1,3,CLAUDIO,No.,,,,
,,1,3,LUCIO,Lechery?,,,,
,,1,3,CLAUDIO,Call it so.,,,,
,,1,3,PROVOST,"Away, sir, you must go.",,,,
,,1,3,CLAUDIO,"One word, good friend. Lucio, a word with you.",,,,
,,1,3,LUCIO,"A hundred, If they'll do you any good.",,,,
,,1,3,,Is lechery so looked after?,**Lechery** means indulgence of lust,lechery,,
,,1,3,CLAUDIO,"Thus stands it with me. Upon a true contract,","**true contract** Claudio and Juliet considered themselves engaged, plight trothed",true contract,,
