play,author,act,scene,player,text,annotation,highlight,cutting,revision
A Midsummer Night's Dream,William Shakespeare,,,,,,,,
,,1,1,StageDirection,ACT I,,,,
,,1,1,StageDirection,SCENE I. Athens. The palace of THESEUS.,,,,
,,1,1,StageDirection,"Enter THESEUS, HIPPOLYTA, PHILOSTRATE, and Attendants",,,,
,,1,1,THESEUS,"Now, fair Hippolyta, our nuptial hour",,,,
,,1,1,THESEUS,"Draws on apace, four happy days bring in","This reference to the [moon](https://en.wikipedia.org/wiki/Moon) is both a literal way in which the time is marked and a metaphorical way in which to establish the imagery of passage into the dream stage. The beginning of the play takes place prior to the new moon, but by the end of the events, after all of the confusion and intrigue is past, a new phase is in effect and sees the celebration of a blessed new marriage taking place under its celestial canopy.",,,"Draws on apace, 4 happy days bring in"
,,1,1,THESEUS,"Another moon: but, O, methinks, how slow",,,,
,,1,1,THESEUS,,,,,Oh moon Oh moon you're so sad
,,1,1,THESEUS,This old moon wanes! she lingers my desires,,,TRUE,
,,1,1,THESEUS,Like to a step-dame or a dowager,,,TRUE,
,,1,1,THESEUS,Long withering out a young man revenue.,,,TRUE,
,,1,1,HIPPOLYTA,"Four days will quickly steep themselves in night,",,,,"4 days will quickly steep themselves in night,"
,,1,1,HIPPOLYTA,"Four nights will quickly dream away the time,",You must read [this pdf](/dramaturgy/item.html?id=midsummer007) to learn more.,,,"4 nights will quickly dream away the time,"
,,1,1,HIPPOLYTA,"And then the moon, like to a silver bow",,,,
,,1,1,HIPPOLYTA,"New-bent in heaven, shall behold the night",,,,
,,1,1,HIPPOLYTA,Of our solemnities.,,,,
,,1,1,THESEUS,"Go, Philostrate,",,,,
,,1,1,THESEUS,"Stir up the Athenian youth to merriments,",,,,
,,1,1,THESEUS,"Awake the pert and nimble spirit of mirth,",,,,
,,1,1,THESEUS,"Turn melancholy forth to funerals,",,,,
,,1,1,THESEUS,The pale companion is not for our pomp.,,,,
,,1,1,StageDirection,Exit PHILOSTRATE,,,,
,,1,1,THESEUS,"Hippolyta, I woo'd thee with my sword,",These lines are in reference to Theseus overwhelming the Amazons in battle and subsequently marrying Hippolyta,,,
,,1,1,THESEUS,"And won thy love, doing thee injuries,",,,,
,,1,1,THESEUS,"But I will wed thee in another key,",,,,
,,1,1,THESEUS,"With pomp, with triumph and with revelling.","Ryan McKinny as Theseus, Tamara Mumford as Hippolyta Metropolitan Opera, 1996

![Ryan McKinny as Theseus, Tamara Mumford as Hippolyta Metropolitan Opera, 1996
](https://shakespeare-navigators.com/dream/Thesus_Hippolyta_Met_1996.jpg)",,,
,,1,1,StageDirection,"Enter EGEUS, HERMIA, LYSANDER, and DEMETRIUS",,,,
,,1,1,EGEUS,"Happy be Theseus, our renowned duke!",,,,
,,1,1,THESEUS,"Thanks, good Egeus: what's the news with thee?",,,,
,,1,1,EGEUS,"Full of vexation come I, with complaint",,,,
,,1,1,EGEUS,"Against my child, my daughter Hermia.",,,,
,,1,1,EGEUS,"Stand forth, Demetrius. My noble lord,",,,,
,,1,1,EGEUS,This man hath my consent to marry her.,,,,
,,1,1,EGEUS,"Stand forth, Lysander: and my gracious duke,",,,,
,,1,1,EGEUS,"This man hath bewitch'd the bosom of my child,",,,,
,,1,1,EGEUS,"Thou, thou, Lysander, thou hast given her rhymes,",,,,
,,1,1,EGEUS,And interchanged love-tokens with my child:,,,,
,,1,1,EGEUS,"Thou hast by moonlight at her window sung,",,,,
,,1,1,EGEUS,"With feigning voice verses of feigning love,",,,,
,,1,1,EGEUS,And stolen the impression of her fantasy,,,,
,,1,1,EGEUS,"With bracelets of thy hair, rings, gawds, conceits,",A **gawd** is an ornament or a trinket.,gawd,,
,,1,1,EGEUS,"Knacks, trifles, nosegays, sweetmeats, messengers",**Sweetmeats** are foods rich in sugar such as candied or crystalized fruits.,sweetmeats,,
,,1,1,EGEUS,Of strong prevailment in unharden'd youth:,,,,
,,1,1,EGEUS,"With cunning hast thou filch'd my daughter's heart,",,,,
,,1,1,EGEUS,"Turn'd her obedience, which is due to me,",,,,
,,1,1,EGEUS,"To stubborn harshness: and, my gracious duke,",,,,
,,1,1,EGEUS,"Be it so she, will not here before your grace",,,,
